id,name,price,type
31,user31,1000,1
32,user32,2000,1
33,user33,3000,1
34,user34,4000,1
35,user35,5000,1
36,user36,6000,1
37,user37,7000,1
38,user38,8000,1
39,user39,9000,1
40,user40,10000,1
41,user41,11000,2
42,user42,12000,2
43,user43,13000,2
44,user44,14000,2
45,user45,15000,2
46,user46,16000,2
47,user47,17000,2
48,user48,18000,2
49,user49,19000,2
50,user50,20000,2
51,user51,21000,3
52,user52,22000,3
53,user53,23000,3
54,user54,24000,3
55,user55,25000,3
56,user56,26000,3
57,user57,27000,3
58,user58,28000,3
59,user59,29000,3
60,user50,30000,3
